source_lat,source_lon,dest_lat,dest_lon,distance_km,route_type,traffic_level,congestion_index,weather,hour,day_of_week,is_peak_hour,vehicle_type,load_weight,time_delay,delay_prob,risk_level
28.587292,77.31888,28.519164,77.366022,13.19,mixed,High,0.82,Clear,18,Tuesday,1,Bike,62,24.62,0.5225,Medium
28.516331,77.256397,28.852904,77.22049,40.0,highway,Medium,0.409,Clear,14,Wednesday,0,Truck,1620,12.27,0.2082,Low
28.733256,77.17714,28.546495,77.169303,28.64,highway,Medium,0.639,Clear,16,Thursday,0,Van,720,11.85,0.2323,Low
28.462213,77.032198,28.635383,77.068946,23.03,highway,High,0.867,Rain,10,Wednesday,1,Truck,1653,46.36,0.9015,High
28.562689,77.34086,28.736282,77.180704,29.51,highway,Low,0.222,Clear,0,Friday,0,Truck,1647,5.39,0.1445,Low
28.725069,77.121111,28.66477,77.032115,12.37,highway,Medium,0.478,Storm,21,Tuesday,1,Van,879,34.46,0.7164,Medium
28.388568,77.306062,28.543929,77.381766,25.69,city,High,0.768,Storm,21,Saturday,1,Van,764,50.8,0.9687,High
28.680855,77.45149,28.588444,77.051885,40.0,city,Low,0.175,Rain,3,Sunday,0,Truck,1116,25.51,0.4874,Medium
28.658643,77.034169,28.548527,77.347655,35.5,city,Medium,0.606,Clear,0,Friday,0,Truck,1694,22.54,0.451,Medium
28.576652,77.333728,28.723088,77.188318,24.6,city,Medium,0.591,Rain,8,Thursday,1,Bike,144,30.88,0.6533,Medium
28.63499,77.48249,28.748048,77.099438,40.0,city,Medium,0.674,Storm,9,Monday,1,Van,958,44.4,0.8759,High
28.67911,77.474503,28.560628,77.307881,23.15,highway,Medium,0.626,Clear,15,Monday,0,Truck,1006,13.11,0.1964,Low
28.689688,77.162321,28.413944,77.32515,40.0,mixed,Low,0.18,Rain,4,Friday,0,Van,594,15.85,0.3251,Medium
28.671412,77.217369,28.679273,77.176145,5.0,city,Medium,0.44,Rain,13,Sunday,0,Truck,1527,16.97,0.2699,Medium
28.568262,77.038581,28.651608,77.443193,40.0,highway,Low,0.376,Rain,0,Tuesday,0,Truck,1779,13.67,0.2474,Low
28.84652,77.209174,28.548645,77.248212,39.82,highway,High,0.873,Clear,20,Wednesday,1,Truck,1568,29.52,0.6498,Medium
28.55933,77.355858,28.36377,77.33008,29.56,highway,Medium,0.625,Rain,3,Saturday,0,Van,789,16.0,0.2864,Medium
28.450815,77.043995,28.54707,77.31441,31.47,highway,Low,0.288,Clear,5,Sunday,0,Truck,1009,5.23,0.14,Low
28.659111,77.498169,28.659511,77.141816,36.58,city,Low,0.163,Clear,16,Monday,0,Van,765,13.56,0.2544,Low
28.576642,77.320601,28.692126,77.406496,22.6,mixed,Low,0.115,Clear,22,Tuesday,0,Van,551,4.62,0.149,Low
28.698644,77.422178,28.35106,77.322639,40.0,city,Medium,0.665,Rain,6,Tuesday,0,Bike,66,24.41,0.4927,Medium
28.601293,77.360525,28.662998,77.043588,34.08,city,High,0.807,Clear,19,Friday,1,Truck,1702,41.78,0.8562,High
28.663606,77.46699,28.355525,77.311248,40.0,highway,Low,0.142,Clear,6,Wednesday,0,Truck,1646,8.73,0.133,Low
28.55683,77.315892,28.613305,77.34947,8.79,mixed,High,0.944,Rain,10,Friday,1,Van,684,35.29,0.7713,High
28.659875,77.045771,28.752808,77.097349,15.71,city,Medium,0.513,Storm,19,Sunday,1,Van,974,35.1,0.6937,High
28.630972,77.216856,28.501457,77.204746,20.73,highway,Low,0.371,Clear,2,Friday,0,Van,912,3.04,0.1141,Low
28.752248,77.107898,28.614994,77.109502,19.15,city,Low,0.394,Clear,2,Thursday,0,Truck,1535,12.07,0.2158,Low
28.765566,77.116106,28.7585,77.118831,5.0,city,High,0.925,Clear,21,Tuesday,1,Truck,1845,18.66,0.3207,Medium
28.729815,77.199671,28.594004,77.037721,30.67,highway,High,0.992,Clear,9,Friday,1,Van,822,29.11,0.5959,Medium
28.637848,77.250239,28.601104,77.044188,22.25,mixed,Medium,0.505,Rain,11,Monday,0,Van,803,26.92,0.5415,Medium
28.857125,77.223581,28.562121,77.301011,37.08,highway,High,0.867,Clear,10,Monday,1,Bike,73,30.35,0.6551,Medium
28.671751,77.418921,28.679324,77.078113,40.0,city,Low,0.281,Clear,10,Tuesday,1,Bike,85,15.6,0.3092,Medium
28.73564,77.09476,28.634449,77.24522,22.76,city,Low,0.281,Clear,22,Sunday,0,Bike,52,8.34,0.1565,Low
28.558177,77.301185,28.453999,77.04341,40.0,highway,High,0.96,Storm,21,Wednesday,1,Truck,1358,51.29,0.9428,High
28.522174,77.389298,28.713552,77.115675,39.42,city,Low,0.318,Clear,1,Wednesday,0,Bike,56,10.95,0.2284,Low
28.527893,77.167307,28.510989,77.407938,32.62,mixed,Medium,0.543,Clear,15,Friday,0,Truck,1213,20.98,0.3611,Medium
28.513305,77.396902,28.770895,77.104229,40.0,highway,High,0.951,Rain,12,Sunday,0,Truck,1439,26.32,0.5529,Medium
28.44554,77.006584,28.578794,77.027814,19.94,city,Medium,0.444,Storm,15,Thursday,0,Van,828,22.53,0.4051,Medium
28.462022,77.012846,28.346432,77.309652,40.0,city,Medium,0.411,Clear,17,Saturday,1,Bike,100,25.41,0.4867,Medium
28.609355,77.348562,28.692695,77.143104,23.19,highway,Low,0.152,Rain,23,Friday,0,Van,868,11.94,0.2101,Low
28.618369,77.101878,28.540412,77.338407,28.05,mixed,Low,0.254,Clear,14,Thursday,0,Truck,1488,8.08,0.1248,Low
28.77143,77.102657,28.596356,77.358762,34.17,mixed,Low,0.384,Clear,17,Thursday,1,Bike,137,12.42,0.2262,Low
28.648615,77.476175,28.522009,77.176958,38.39,city,Low,0.152,Clear,0,Tuesday,0,Truck,1113,18.6,0.3364,Medium
28.486681,77.016989,28.788517,77.308471,40.0,mixed,Medium,0.63,Rain,0,Wednesday,0,Van,821,25.41,0.4925,Medium
28.790761,77.096446,28.446532,77.011449,40.0,mixed,Low,0.277,Clear,1,Sunday,0,Bike,148,9.17,0.1705,Low
28.781539,77.106414,28.500492,77.188963,40.0,highway,Low,0.275,Storm,13,Saturday,0,Truck,1043,26.48,0.5107,Medium
28.838032,77.193918,28.70369,77.115088,22.05,city,Low,0.272,Clear,13,Wednesday,0,Truck,1833,9.98,0.2019,Low
28.528741,77.285544,28.359832,77.348348,21.25,mixed,Low,0.185,Clear,1,Friday,0,Bike,126,4.93,0.1452,Low
28.755689,77.116951,28.788978,77.313144,20.81,city,Medium,0.522,Clear,14,Sunday,0,Van,866,16.41,0.3008,Medium
28.629698,77.469305,28.686323,77.152714,40.0,city,High,0.912,Clear,17,Friday,1,Bike,129,35.98,0.737,High
28.666623,77.47678,28.515285,77.269593,39.47,highway,Medium,0.6,Clear,9,Friday,1,Bike,118,22.57,0.4187,Medium
28.569275,77.339049,28.370841,77.322536,29.96,mixed,High,0.865,Rain,10,Thursday,1,Truck,1369,31.07,0.6389,Medium
28.583142,77.054647,28.671131,77.427559,40.0,city,Low,0.172,Rain,1,Saturday,0,Truck,1717,25.63,0.5271,Medium
28.574953,77.343453,28.78217,77.112006,40.0,city,Medium,0.403,Rain,18,Monday,1,Van,815,29.98,0.6298,Medium
28.666612,77.057661,28.560534,77.308996,35.5,city,High,0.882,Clear,8,Monday,1,Van,990,34.57,0.6894,Medium
28.465168,77.012544,28.619405,77.110654,23.44,highway,Medium,0.618,Clear,14,Monday,0,Bike,73,12.54,0.2103,Low
28.767356,77.309924,28.755766,77.125344,26.5,city,Medium,0.529,Rain,11,Friday,0,Van,640,27.44,0.5893,Medium
28.473506,77.005194,28.64012,77.220364,31.43,mixed,Low,0.125,Clear,2,Friday,0,Truck,1244,10.71,0.1951,Low
28.662806,77.433341,28.645858,77.455289,5.0,city,Medium,0.614,Clear,14,Saturday,0,Bike,64,5.85,0.1259,Low
28.747126,77.095039,28.549677,77.32679,36.6,city,High,0.917,Clear,7,Tuesday,1,Bike,100,42.81,0.8483,High
28.737201,77.124829,28.570402,77.305745,36.36,city,Medium,0.699,Clear,7,Thursday,1,Truck,1740,32.86,0.6961,Medium
28.638439,77.351912,28.732635,77.125369,31.5,city,Medium,0.425,Clear,13,Thursday,0,Truck,1641,17.51,0.3284,Medium
28.486395,77.037803,28.656506,77.210163,34.18,highway,Low,0.223,Storm,13,Monday,0,Truck,1729,16.77,0.3125,Medium
28.569175,77.316839,28.704315,77.424711,22.18,city,Medium,0.49,Clear,13,Tuesday,0,Bike,125,9.72,0.2097,Low
28.560567,77.331485,28.652954,77.144192,27.58,highway,High,0.825,Storm,10,Tuesday,1,Van,649,36.78,0.7642,High
28.784585,77.098619,28.596715,77.307883,33.83,highway,Low,0.393,Clear,2,Sunday,0,Truck,1475,4.84,0.1056,Low
28.523369,77.264618,28.743719,77.183875,33.03,mixed,Low,0.246,Clear,3,Sunday,0,Van,585,6.37,0.1003,Low
28.635193,77.229097,28.718748,77.101815,18.91,mixed,High,0.809,Clear,21,Friday,1,Truck,1745,26.67,0.5749,Medium
28.644788,77.38017,28.532727,77.354421,14.45,city,High,0.74,Clear,9,Thursday,1,Van,880,30.04,0.6,Medium
28.711436,77.164116,28.54593,77.184244,19.98,mixed,Medium,0.684,Rain,15,Tuesday,0,Truck,1879,21.41,0.4475,Medium
28.716688,77.192447,28.564411,77.336868,33.03,city,High,0.715,Clear,10,Sunday,1,Van,577,32.15,0.6562,Medium
28.600706,77.304612,28.621878,77.07108,32.56,mixed,Low,0.243,Clear,4,Thursday,0,Van,643,7.33,0.1278,Low
28.742056,77.140076,28.782394,77.099009,7.92,city,Medium,0.686,Clear,12,Friday,0,Truck,1980,10.41,0.1882,Low
28.699251,77.102177,28.6305,77.21156,15.19,highway,Low,0.379,Clear,6,Tuesday,0,Truck,1950,3.69,0.1248,Low
28.723894,77.173683,28.598763,77.33518,30.97,mixed,High,0.742,Clear,21,Monday,1,Truck,1694,31.24,0.6491,Medium
28.766236,77.136089,28.595823,77.353237,34.56,highway,Low,0.183,Clear,6,Saturday,0,Van,638,6.36,0.1097,Low
28.564349,77.29518,28.369297,77.328778,29.04,highway,Medium,0.597,Rain,18,Friday,1,Truck,1258,23.49,0.494,Medium
28.503234,77.193052,28.660079,77.436291,38.5,city,Medium,0.675,Storm,23,Thursday,0,Bike,126,27.7,0.5724,Medium
28.532578,77.188493,28.746809,77.102177,37.19,mixed,Medium,0.516,Rain,21,Wednesday,1,Truck,1069,28.3,0.5682,Medium
28.511496,77.200018,28.841502,77.192941,40.0,city,Low,0.117,Rain,23,Tuesday,0,Van,910,20.28,0.3508,Medium
28.594747,77.298417,28.850837,77.190911,34.45,highway,High,0.99,Clear,14,Thursday,0,Van,667,20.73,0.3686,Medium
28.559433,77.329025,28.452384,77.03473,39.08,city,High,0.828,Clear,21,Friday,1,Truck,1517,48.99,0.9116,High
28.635326,77.246224,28.623758,77.220221,5.0,mixed,Low,0.119,Rain,14,Wednesday,0,Van,597,6.88,0.1422,Low
28.653265,77.109593,28.712406,77.172834,11.46,city,Low,0.281,Clear,5,Tuesday,0,Van,839,5.05,0.0945,Low
28.359089,77.309656,28.622778,77.109612,40.0,city,High,0.89,Rain,13,Sunday,0,Truck,1039,42.41,0.8328,High
28.638011,77.233279,28.390021,77.300602,34.7,highway,High,0.84,Clear,14,Monday,0,Truck,1907,17.77,0.3266,Medium
28.460179,77.033942,28.635773,77.468765,40.0,city,High,0.928,Rain,12,Wednesday,0,Van,706,34.84,0.7294,Medium
28.747075,77.109341,28.713887,77.176494,9.57,highway,High,0.822,Clear,21,Friday,1,Truck,1209,31.49,0.6488,Medium
28.628909,77.512932,28.476574,77.005439,40.0,highway,Low,0.275,Storm,0,Wednesday,0,Truck,1147,19.42,0.3394,Medium
28.533485,77.390697,28.656053,77.469533,19.48,highway,Medium,0.669,Rain,23,Tuesday,0,Van,609,14.18,0.2833,Low
28.536916,77.386466,28.639023,77.393917,12.74,highway,Low,0.316,Storm,6,Wednesday,0,Bike,132,15.49,0.2995,Medium
28.791489,77.126986,28.687329,77.433776,40.0,city,Low,0.298,Clear,23,Monday,0,Van,896,14.97,0.3015,Low
28.589313,77.21977,28.3759,77.307566,35.68,city,High,0.962,Clear,20,Monday,1,Van,843,47.13,0.9149,High
28.675399,77.035537,28.54251,77.177901,24.51,city,Medium,0.597,Rain,12,Friday,0,Truck,1040,29.83,0.645,Medium
28.407987,77.312566,28.622475,77.083756,35.12,mixed,Medium,0.651,Storm,12,Saturday,0,Truck,1049,28.12,0.5572,Medium
28.620753,77.217801,28.662456,77.069357,19.06,mixed,Low,0.218,Rain,23,Monday,0,Truck,1437,11.69,0.2107,Low
28.590547,77.204739,28.742936,77.158724,20.93,mixed,High,0.951,Clear,21,Tuesday,1,Truck,1310,29.44,0.6355,Medium
28.462871,77.041739,28.750176,77.140636,40.0,city,Low,0.364,Clear,4,Tuesday,0,Truck,1242,22.6,0.4099,Medium
28.692171,77.055896,28.791799,77.142063,18.9,highway,High,0.981,Clear,21,Sunday,1,Truck,1981,22.17,0.3992,Medium
28.642156,77.388999,28.391729,77.332036,30.88,mixed,Medium,0.478,Clear,21,Tuesday,1,Bike,144,14.35,0.2279,Low
28.550392,77.35359,28.54346,77.203106,20.62,mixed,Medium,0.553,Rain,16,Friday,0,Bike,127,23.77,0.4327,Medium
28.521641,77.278346,28.764706,77.114995,40.0,city,Medium,0.535,Rain,9,Wednesday,1,Truck,1629,35.7,0.7405,High
28.692453,77.083912,28.543588,77.340179,40.0,city,Medium,0.41,Storm,1,Wednesday,0,Van,563,37.33,0.7767,High
28.669503,77.029897,28.734355,77.161768,18.03,mixed,Low,0.28,Storm,16,Thursday,0,Bike,74,15.55,0.3157,Medium
28.584652,77.068813,28.348711,77.321196,40.0,highway,High,0.74,Rain,9,Tuesday,1,Bike,85,33.67,0.7379,Medium
28.546459,77.311418,28.633451,77.363841,13.45,mixed,Medium,0.631,Clear,3,Tuesday,0,Bike,81,8.28,0.1373,Low
28.750871,77.112908,28.694686,77.110683,7.92,city,Medium,0.443,Storm,13,Thursday,0,Bike,140,30.77,0.6274,Medium
28.669817,77.436465,28.660119,77.214892,23.76,highway,High,0.803,Rain,17,Monday,1,Truck,1445,30.07,0.6147,Medium
28.758258,77.137782,28.684818,77.431364,36.09,highway,Medium,0.548,Rain,16,Monday,0,Truck,1960,20.96,0.3734,Medium
28.643908,77.227688,28.761404,77.300966,18.93,highway,Low,0.201,Clear,3,Saturday,0,Van,641,2.76,0.0943,Low
28.635685,77.371794,28.408853,77.303453,35.74,highway,High,0.71,Clear,8,Thursday,1,Bike,143,25.0,0.4841,Medium
28.695442,77.166045,28.480035,77.007808,33.97,highway,High,0.754,Clear,8,Friday,1,Truck,1566,32.04,0.6951,Medium
28.626571,77.206045,28.378672,77.330754,35.68,highway,Medium,0.584,Rain,18,Wednesday,1,Van,827,30.31,0.6257,Medium
28.663777,77.408437,28.607053,77.05978,40.0,city,Low,0.202,Rain,14,Thursday,0,Bike,62,24.54,0.4528,Medium
28.647149,77.176267,28.555984,77.315602,23.75,city,High,0.755,Clear,7,Wednesday,1,Van,601,32.47,0.6514,Medium
